Transaction ID,Customer ID,Account Number,Transaction Date,Transaction Type,Transaction Amount,Account Balance,Customer Name,Customer Age,Customer Gender,Account Type,Branch Code,Currency,Transaction Status,Interest Rate (%),Loan Amount,Loan Duration (Years),Credit Score,Monthly Income,Employment Status
T000001,C8270,AC87462428,5/23/2023,Payment,5119.81,27796.92,Bob Brown,30,Male,Checking,BR901,EUR,Failed,3.95,,,459,5918.52,Self-employed
T000002,C1860,AC65849014,4/5/2022,Withdrawal,6021.32,33863.1,Carol White,32,Male,Credit,BR209,GBP,Failed,3.41,,8,832,4611.32,Self-employed
T000003,C6390,AC47003110,7/1/2022,Payment,430.5,35342.51,Carol White,44,Female,Checking,BR660,EUR,Completed,3.62,,,434,12065.39,Unemployed
T000004,C6191,AC23942402,4/17/2022,Withdrawal,3700.56,10997.21,Jane Smith,32,Male,Savings,BR740,USD,Failed,1.03,48444.9,,410,11263.51,Self-employed
T000005,C6734,AC99097673,7/8/2022,Transfer,7353.09,33045.71,Carol White,45,Male,Credit,BR684,GBP,Completed,4.71,,5,582,10254.37,Unemployed
T000006,C7265,AC91602413,7/13/2023,Withdrawal,8221.74,41100.11,Jane Smith,54,Male,Credit,BR439,GBP,Pending,1.27,16947.46,20,819,7033.83,Employed
T000007,C1466,AC20669435,3/15/2022,Payment,3200.3,3450.91,Jane Smith,36,Female,Checking,BR664,EUR,Failed,2.47,18616.65,4,493,13817.53,Self-employed
T000008,C5426,AC93750880,5/7/2022,Deposit,8006.07,45664.54,Jane Smith,43,Male,Checking,BR455,EUR,Completed,2.61,,11,346,14603.92,Unemployed
T000009,C6578,AC53728950,5/23/2022,Withdrawal,9680.78,2445.7,Bob Brown,69,Male,Savings,BR991,GBP,Failed,1.01,,,641,4257.31,Self-employed
T000010,C9322,AC21484508,6/3/2022,Transfer,8583.05,18442.58,Bob Brown,43,Male,Credit,BR267,EUR,Completed,2.99,,,541,4899.16,Unemployed
T000011,C2685,AC17449607,7/5/2023,Withdrawal,1264.68,1774.85,Carol White,42,Female,Savings,BR656,USD,Pending,4.01,26995.07,,821,8833.2,Unemployed
T000012,C1769,AC97929144,3/13/2023,Withdrawal,7423.33,4780.11,Bob Brown,43,Female,Checking,BR551,EUR,Completed,4.29,,,669,3186.26,Self-employed
T000013,C7949,AC23839094,6/4/2022,Withdrawal,3264.7,45647.25,Carol White,43,Male,Credit,BR204,EUR,Failed,4.52,,6,430,7673.83,Employed
T000014,C3433,AC26701250,6/7/2022,Transfer,9885.32,18388.18,Bob Brown,63,Male,Savings,BR249,GBP,Completed,2.95,,,569,9563.29,Unemployed
T000015,C6311,AC62934615,10/26/2022,Payment,4905.05,21813.8,John Doe,45,Female,Savings,BR245,EUR,Failed,3.52,20349.62,21,360,8786.96,Employed
T000016,C6051,AC46992982,7/9/2022,Withdrawal,1312.1,11551.87,John Doe,66,Female,Savings,BR815,EUR,Pending,1.32,29371.8,16,463,6301.81,Self-employed
T000017,C7420,AC77185082,3/20/2022,Withdrawal,7279.34,30257.69,Carol White,35,Male,Savings,BR973,EUR,Completed,2.95,,,824,9051.8,Self-employed
T000018,C2184,AC33656190,2/5/2022,Deposit,3297.81,30145.36,Bob Brown,49,Male,Savings,BR398,USD,Failed,1.62,33499.05,,571,14464.41,Employed
T000019,C5555,AC94656124,3/14/2023,Transfer,9971.07,19237.82,Bob Brown,20,Female,Credit,BR266,EUR,Failed,2.48,,,432,4678.23,Self-employed
T000020,C4385,AC15579079,6/23/2022,Withdrawal,9799.85,17318.71,Jane Smith,19,Female,Savings,BR812,USD,Failed,2.32,30022.36,,543,10512.81,Unemployed
T000021,C7396,AC54489781,11/15/2022,Transfer,6595.73,44363.25,Alice Johnson,50,Male,Credit,BR745,USD,Completed,2.69,,,733,2564.16,Employed
T000022,C9666,AC90170222,3/28/2022,Withdrawal,1385.28,19780.93,Carol White,59,Female,Savings,BR822,USD,Completed,3.29,6090.81,,337,2863.41,Self-employed
T000023,C3558,AC39822180,1/7/2023,Payment,6899.92,25181.55,Alice Johnson,36,Male,Checking,BR147,USD,Completed,4.61,,27,618,9173.77,Self-employed
T000024,C8849,AC63517362,8/6/2022,Payment,1021,14881.93,Alice Johnson,34,Male,Checking,BR737,GBP,Pending,2.58,,13,809,3364.21,Employed
T000025,C3047,AC93463150,4/15/2022,Withdrawal,390.71,39551.71,Carol White,61,Male,Savings,BR338,USD,Failed,4.92,35102.92,4,675,2290.51,Unemployed
T000026,C3747,AC18860935,2/14/2022,Payment,8247.29,20474.96,Bob Brown,50,Female,Checking,BR106,EUR,Failed,4.04,38615.38,,773,4229.67,Employed
T000027,C1189,AC34444321,10/3/2022,Withdrawal,2176.55,26166.94,Carol White,29,Male,Credit,BR563,USD,Pending,3.05,46216.75,9,358,9343.04,Self-employed
T000028,C3734,AC95808215,7/6/2023,Payment,3852.37,13414.5,Alice Johnson,66,Male,Savings,BR552,EUR,Pending,3.58,48115.53,5,798,11143.43,Self-employed
T000029,C4005,AC25105101,1/30/2022,Deposit,9737.23,49395.32,Bob Brown,20,Female,Credit,BR883,USD,Completed,1.41,5473.67,19,517,4632.22,Employed
T000030,C5658,AC50576287,9/20/2022,Deposit,3434.72,15283.29,John Doe,60,Female,Savings,BR996,GBP,Completed,4.38,,22,428,10687.37,Unemployed
T000031,C2899,AC61309687,7/26/2023,Deposit,3035.25,38766.38,Carol White,66,Male,Checking,BR470,USD,Completed,3.33,,3,682,4372.19,Unemployed
T000032,C8734,AC86106218,1/25/2023,Transfer,9190.26,21947.29,Carol White,43,Male,Credit,BR648,USD,Completed,4.94,33958.59,21,687,9974.95,Unemployed
T000033,C2267,AC39677043,8/22/2022,Transfer,1196.41,11104.65,Bob Brown,52,Female,Checking,BR586,GBP,Completed,3.55,,,384,7355.48,Employed
T000034,C2528,AC60831524,2/5/2023,Deposit,7619.87,40186.22,John Doe,25,Female,Checking,BR310,USD,Completed,4.34,,,809,10499.39,Unemployed
T000035,C4556,AC79071029,10/2/2022,Transfer,9881.85,17346.73,John Doe,69,Female,Savings,BR264,EUR,Pending,4.2,11547.12,,736,14935.69,Unemployed
T000036,C4890,AC85094484,4/22/2022,Payment,9022.83,43394.47,Bob Brown,53,Male,Credit,BR224,USD,Pending,2.38,,10,592,14191.62,Unemployed
T000037,C9838,AC10611213,4/18/2022,Withdrawal,6551.51,45847.6,Jane Smith,24,Male,Checking,BR436,USD,Pending,2.04,,,348,2055.66,Unemployed
T000038,C6393,AC61100382,5/1/2023,Withdrawal,3209.2,43131.37,Carol White,63,Male,Savings,BR291,USD,Failed,2.72,34068.39,,366,13510.7,Self-employed
T000039,C9792,AC59349430,4/28/2023,Withdrawal,2617.79,2715.39,Carol White,63,Female,Savings,BR829,GBP,Failed,2.87,24566.07,3,428,2864.38,Employed
T000040,C9433,AC65842822,3/9/2023,Deposit,8210.63,39581.29,Alice Johnson,53,Male,Savings,BR313,USD,Completed,1.96,,,328,14389.61,Employed
T000041,C8513,AC45393865,11/20/2022,Transfer,8810.24,21155.63,Bob Brown,33,Female,Checking,BR673,USD,Pending,4.58,9840.26,24,642,5663.73,Unemployed
T000042,C3612,AC83678496,8/31/2022,Payment,5301.81,43812.42,Alice Johnson,41,Male,Savings,BR427,EUR,Failed,3.17,,,844,6966.45,Employed
T000043,C8041,AC97558294,5/2/2022,Payment,2518.97,32259.76,Alice Johnson,18,Female,Credit,BR480,USD,Failed,4.91,10548.76,22,418,3191.3,Employed
T000044,C7235,AC28803796,3/26/2023,Deposit,1218.14,41848.51,John Doe,66,Male,Credit,BR772,USD,Pending,4.24,26890.1,18,432,3459.55,Self-employed
T000045,C6486,AC16202258,5/19/2023,Payment,963.08,25472.16,Carol White,42,Male,Checking,BR677,USD,Failed,3.22,33134.77,,626,11447.63,Employed
T000046,C8099,AC98225315,2/24/2023,Payment,7218.87,27216.25,Alice Johnson,27,Female,Credit,BR897,USD,Failed,4.79,42232.29,8,484,14276.32,Self-employed
T000047,C1775,AC86989724,3/19/2022,Payment,4259.18,8074.99,John Doe,33,Female,Savings,BR338,EUR,Pending,3.02,,,805,9939.73,Employed
T000048,C9226,AC75174203,6/1/2022,Payment,9063.06,39415.38,Bob Brown,33,Male,Checking,BR631,EUR,Failed,4.55,7933.99,25,833,11306.05,Self-employed
T000049,C4152,AC80635601,3/12/2023,Transfer,7422.75,21550.09,Alice Johnson,25,Female,Savings,BR799,GBP,Pending,2.43,18834.46,,540,11905.61,Self-employed
T000050,C2585,AC85899393,5/4/2022,Payment,1993.48,25503.93,Carol White,46,Female,Checking,BR181,USD,Failed,2.51,,,815,5416.59,Employed
T000051,C4943,AC28786176,7/29/2022,Withdrawal,6176.4,39469.79,Alice Johnson,56,Male,Checking,BR462,GBP,Pending,2.67,,26,464,2587.99,Self-employed
T000052,C8555,AC31232430,3/26/2022,Deposit,4411.5,30343.42,Bob Brown,45,Female,Savings,BR604,GBP,Failed,3.19,,,517,2024.35,Self-employed
T000053,C4073,AC50473321,7/10/2023,Transfer,5814.77,10853.84,Alice Johnson,23,Male,Credit,BR301,USD,Failed,3.21,,,304,6558.44,Employed
T000054,C2021,AC64148094,2/14/2022,Payment,7406.88,29921.4,Carol White,33,Male,Credit,BR603,EUR,Pending,2.99,8201.99,,380,5139.03,Self-employed
T000055,C4843,AC30153729,8/3/2023,Transfer,8081.34,20974.01,John Doe,37,Female,Checking,BR743,EUR,Failed,2.22,,10,546,2810.13,Self-employed
T000056,C8989,AC92932418,8/6/2023,Payment,8453,24006.75,Carol White,33,Female,Savings,BR136,USD,Pending,4.71,44968.55,23,792,4333.87,Self-employed
T000057,C7873,AC22790902,6/22/2022,Withdrawal,2614.35,2387.25,John Doe,24,Male,Savings,BR743,USD,Pending,3.35,,,685,3618.49,Self-employed
T000058,C6675,AC87582731,7/8/2023,Deposit,408.04,11291.44,Jane Smith,58,Male,Checking,BR688,EUR,Failed,2.63,43028.67,,606,13893.42,Self-employed
T000059,C1161,AC87973011,8/15/2023,Payment,7419.02,14770.87,Carol White,31,Male,Credit,BR700,USD,Completed,3.6,,4,842,3823.47,Unemployed
T000060,C5297,AC16193956,5/22/2023,Payment,1152.8,35935.04,Carol White,60,Male,Savings,BR501,USD,Failed,4.07,12984.42,28,306,8989.43,Self-employed
T000061,C1995,AC23579173,1/28/2023,Payment,3217.7,1563.13,Bob Brown,43,Male,Credit,BR864,USD,Completed,4.84,26486.96,,814,9710.38,Self-employed
